portal::components/olark/disabled_input_text_when_convo_has_ended,,"This chat ended, refresh for new chat",Cette conversation est terminée. Actualisez la page pour en démarrer une nouvelle
portal::components/olark/introduction_submit_button_text,,Start chat,Démarrer une conversation
portal::components/olark/introduction_messages,,"Welcome, just fill out some brief information and click Start Chat to talk to us","Bienvenue, il vous suffit d'indiquer quelques informations rapides et de cliquer sur Démarrer la conversation pour discuter avec nous"
portal::components/olark/introduction_error_text,,Please leave your name and email address so we can contact you in case we get disconnected,Merci de laisser votre nom et votre adresse e-mail afin que nous puissions vous contacter au cas où nous serions déconnectés
portal::components/olark/loading_title,,Loading...,Chargement en cours...
portal::components/olark/away_message,,You caught us while we are away but we&rsquo;ll be back shortly!,"Vous nous avez contactés en notre absence, mais nous serons de retour sous peu !"
portal::components/olark/cobrowsing_confirm_control_text,,Remitly support would like to access your browser to help guide you in solving your issue,Le support technique de Remitly souhaiterait accéder à votre navigateur pour vous aider à résoudre votre problème
portal::views/security_questions/start,,Start,Démarrer
portal::components/olark/cobrowsing_visitor_allow_approve_message,,You&rsquo;re now sharing your browser.,Vous partagez à présent votre navigateur.
portal::components/olark/cobrowsing_visitor_confirm_allow_button_decline,,Decline,Refuser
portal::components/olark/cobrowsing_notify_visitor_decline_text,,Browser sharing declined.,Partage du navigateur refusé.
portal::components/olark/cobrowsing_allow_approve_button_stop,,End sharing.,Mettez fin au partage.
portal::components/olark/cobrowsing_notify_visitor_end_text,,Browser sharing has ended.,Le partage du navigateur a pris fin.
portal::components/olark/cobrowsing_visitor_confirm_allow_message,,Would you like the operator to take control of your browser?,Souhaitez-vous que l'opérateur prenne le contrôle de votre navigateur ?
portal::components/olark/cobrowsing_notify_visitor_control_text,,The operator is now controlling your browser.,L'opérateur contrôle à présent votre navigateur.
portal::components/olark/feedback_survey_question_chat_text,,How satisfied were you with this chat?,Dans quelle mesure avez-vous été satisfait de cette conversation ?
portal::components/olark/feedback_survey_question_operator_intelligence_text,,How knowledgeable was the chat agent?,À quel point l'agent avec lequel vous avez conversé était-il bien informé ?
portal::components/olark/feedback_survey_question_operator_speed_text,,How responsive was the chat agent?,Dans quelle mesure l'agent avec lequel vous avez conversé a-t-il été réactif ?
portal::components/olark/feedback_survey_question_operator_attitude_text,,How friendly was the chat agent?,Dans quelle mesure l'agent avec lequel vous avez conversé a-t-il été sympathique ?
portal::components/olark/feedback_survey_question_s_text,,Question %s of 5,clé
portal::components/olark/feedback_survey_question_chat_low,,Not at all satisfied,Pas du tout satisfait(e)
portal::components/olark/feedback_survey_question_chat_high,,Extremely satisfied,Extrêmement satisfait(e)
portal::components/olark/feedback_survey_question_operator_intelligence_low,,Not at all knowledgeable,Pas informé du tout
portal::components/olark/feedback_survey_question_operator_intelligence_high,,Extremely knowledgeable,Extrêmement bien informé
portal::components/olark/feedback_survey_question_operator_speed_low,,Not at all responsive,Pas du tout réactif
portal::components/olark/feedback_survey_question_operator_speed_high,,Extremely responsive,Extrêmement réactif
portal::components/olark/feedback_survey_question_operator_attitude_low,,Not at all friendly,Pas sympathique du tout
portal::components/olark/feedback_survey_question_operator_attitude_high,,Extremely friendly,Extrêmement sympathique
portal::components/olark/feedback_survey_question_additional_feedback_text,,Additional feedback,Autres commentaires
portal::components/olark/feedback_survey_button_next,,Next,Suivant
portal::components/olark/feedback_survey_button_submitting,,Submitting,Envoi
portal::components/olark/feedback_survey_button_finish,,Finish,Terminer
portal::components/olark/feedback_survey_end_message,,Thank you for your feedback!,Merci pour tous vos commentaires !
portal::components/olark/feedback_survey_submission_error_message,,"There was an error submitting your answer, please try again.","Une erreur s'est produite lors de l'envoi de votre réponse, veuillez réessayer."
portal::components/app_download/sending,,Sending,Envoi en cours
portal::components/app_download/sent,,Sent!,Envoyé !
portal::components/app_download/resend,,Resend,Renvoyer
portal::components/app_download/text_a_link,,Text a link to your phone:,Envoyer un lien sur votre téléphone par SMS :
portal::forms/forgot_password/please_enter_email,,Please enter your email address.,Veuillez entrer votre adresse e-mail.
portal::forms/forgot_password/we_will_send_email,,We will send you an email that will allow you to change your password.,Nous vous enverrons un e-mail qui vous permettra de modifier votre mot de passe.
portal::forms/forgot_password/request_reset,,Request Reset,Demander une réinitialisation
portal::w/hero-ind-two-panel-welcome/heading,,Welcome back!,Bienvenue à nouveau !
portal::forms/login/sign_in_to_send,,Sign in to send money now.,Connectez-vous pour envoyer de l'argent maintenant.
portal::forms/login/forgot_password,,Forgot your password?,Vous avez oublié votre mot de passe ?
portal::forms/register/welcome,,Welcome!,Bienvenue !
portal::forms/register/choose_password,,Choose a password to start sending money home.,Choisissez un mot de passe pour commencer à envoyer de l'argent à domicile.
portal::forms/register/by_clicking,,"By clicking &ldquo;Join now&rdquo;, you are agreeing to our %s &amp; %s","En cliquant sur « Rejoindre », vous acceptez notre %s et; %s"
portal::forms/gdpr/opt_in,,"Remitly may contact you regarding special promotions that we often run for our customers, including FX rate promotions, fee discounts and prize draws. If you do not wish to receive these messages, please uncheck this box.","Remitly peut vous contacter au sujet des promotions spéciales que nous organisons souvent pour nos clients, notamment des promotions sur les taux de change, des réductions de frais et des tirages au sort. Si vous ne souhaitez pas recevoir ces messages, veuillez décocher cette case."
portal::forms/reset_password_form/new_password,,New Password,Nouveau mot de passe
portal::forms/reset_password_form/confirm_password,,Confirm New Password,Confirmer le nouveau mot de passe
portal::transfer/delivery_details/last_4_placeholder,,Last 4 digits,4 derniers chiffres
portal::forms/reset_password_form/confirm_identity_dob,,Please confirm your identity by providing your date of birth.,Veuillez confirmer votre identité en nous indiquant votre date de naissance.
portal::forms/reset_password_form/confirm_identity_bank,,Please confirm your identity by providing the last 4 digits of your bank card or bank account on file.,Veuillez confirmer votre identité en indiquant les 4 derniers chiffres de votre carte bancaire ou de votre compte bancaire enregistrés.
portal::forms/reset_password_form/reset_password,,Reset Password,Réinitialiser le mot de passe
portal::transfer/delivery_details/street_address,,Street Address,Adresse postale
portal::header_ios/todays_rate,,Today&rsquo;s Rate,Taux du jour
portal::notifications/we_require_additional,,We require some additional information from you.,Nous avons besoin de quelques informations complémentaires de votre part.
portal::notifications/click_for_details,,Click for details,Cliquez pour plus de précisions
portal::unsubscribe/from_invitations,,Unsubscribe from Remitly Invitations,Se désabonner des invitations de Remitly
portal::unsubscribe/enter_email,,Enter your email below and click “Block Invitations” to block your friends from inviting you to join Remitly.,Entrez votre adresse e-mail ci-dessous et cliquez sur « Bloquer les invitations » pour empêcher vos amis de vous inviter à rejoindre Remitly.
portal::unsubscribe/email_address,,EMAIL ADDRESS,ADRESSE E-MAIL
portal::views/home/contact/your_email_address,,Your Email Address,Votre adresse e-mail
portal::unsubscribe/block_invites,,Block Invites,Bloquer les invitations
portal::unsubscribe/to_join,,"To join Remitly, %s.","Pour rejoindre Remitly, %s."
portal::ribbons/identity/your_identity,,Your Identity,Votre identité
portal::ribbons/identity/see_our_privacy_policy,,Please see our %s for information about how we use and protect personal information.,Veuillez consulter notre %s pour savoir comment nous utilisons et protégeons les informations personnelles.
portal::ribbons/promotions/add_promotions,,Add Promotions,Ajouter des promotions
portal::ribbons/send_us_a_msg,,send us a message,envoyez-nous un message
portal::ribbons/if_you_have_questions,,"If you have any additional questions about Remitly, %s or call us any time at %s","Pour toute question sur Remitly, %s ou appelez-nous à tout moment au %s"
portal::ribbons/if_you_have_questions_toll_free,,"If you have any additional questions about Remitly, %s or call us toll free any time at %s","Pour toute question sur Remitly, %s ou appelez-nous gratuitement à tout moment au %s"
portal::ribbons/reset_password/enter_new,,Enter your new password on this page.,Saisissez votre nouveau mot de passe sur cette page.
portal::ribbons/resolution_center/use_camera,,"To capture an image you can use the camera on your laptop, desktop computer, mobile phone or tablet","Pour capturer une image, vous pouvez utiliser l'appareil photo de votre ordinateur portable, votre ordinateur de bureau, votre téléphone mobile ou votre tablette"
portal::ribbons/resolution_center/also_scanner,,You can also use a document scanner and upload them,Vous pouvez également utiliser un scanner et télécharger vos documents
portal::ribbons/resolution_center/email_or_call_us_s_s,,"As always, our Customer Care Team is available 24/7 at %s or %s to help you through this process or answer any additional questions","Comme toujours, notre équipe de service à la clientèle est disponible 24 h/24, 7 j/7 au %s ou %s pour vous aider dans ce processus ou pour répondre à vos éventuelles questions"
portal::ribbons/share/share_via_email,,Share Remitly via Email,Partager Remitly par e-mail
portal::ribbons/share/if_you_love,,"If you love Remitly, please share it with your friends &amp; family!","Si vous aimez Remitly, n'hésitez pas à le partager avec vos amis et avec votre famille !"
portal::ribbons/share/your_friends_can_also_save,,Your friends can also save money sending money to their family.,Vos amis peuvent également faire des économies en envoyant de l'argent à leur famille.
portal::ribbons/receiver_receipt/transaction_receipt,,Transaction Receipt,Reçu de la transaction
portal::ribbons/receiver_receipt/if_you_have_qs,,"If you have any questions about this transaction, %s or call us any time at %s.","Pour toute question concernant cette transaction, %s ou appelez-nous à tout moment au %s."
portal::ribbons/components/limits/24_hour_limit,,24-Hour Limit,Limite de 24 heures
portal::ribbons/components/limits/remaining,,Remaining,Restant
portal::ribbons/components/limits/7_day_limit,,7 day Limit,clé
portal::ribbons/components/limits/30_day_limit,,30 day Limit,clé
portal::ribbons/components/limits/180_day_limit,,180 day Limit,clé
portal::ribbons/components/limits/increase_sending_limits,,Increase send limits,Augmenter les limites d'envoi
portal::ribbons/components/limits/sending_limit_request_pending,,Sending limit request pending,Demande de limite d'envoi en attente
portal::ribbons/unsubscribe/ubsubscribe,,Unsubscribe,Se désabonner
portal::ribbons/unsubscribe/you_can_enter,,You can enter your email address here to stop receiving promotional email.,Vous pouvez entrer votre adresse e-mail ici pour ne plus recevoir d'e-mails promotionnels.
portal::ribbons/verify_mobile/verify_phone,,Verify your Phone,Vérifiez votre téléphone
portal::ribbons/verify_mobile/we_sent_message,,We have sent you a message with a verification code. Please enter it below to verify your mobile phone number.,Nous vous avons envoyé un message contenant un code de vérification. Veuillez le saisir ci-dessous pour vérifier votre numéro de téléphone mobile.
portal::ribbons/verify_mobile/please_verify,,"To see transactions that have been sent to you, please validate your mobile phone number first.","Pour voir les transactions qui vous ont été envoyées, veuillez d'abord valider votre numéro de téléphone mobile."
portal::sweepstakes_reward/sweepstakes,,SWEEPSTAKES,JEUX-CONCOURS
portal::sweepstakes_reward/day_left,,1 day left!,clé
portal::sweepstakes_reward/days_left,,%s days left!,%s jours restants !
portal::sweepstakes_reward/entry_left,,"You have %s entry into the Sweepstakes! You will receive additional entries for every transaction completed between now and %s. The more you send, the more chances you have!","Vous disposez de %s participation au Jeu-concours ! Vous recevrez des participations supplémentaires pour toute transaction effectuée entre aujourd'hui et %s. Plus vous envoyez d'argent, plus vous avez de chances !"
portal::sweepstakes_reward/entries_left,,"You have %s entries into the Sweepstakes! You will receive additional entries for every transaction completed between now and %s. The more you send, the more chances you have!","Vous disposez de %s participations au Jeu-concours ! Vous recevrez des participations supplémentaires pour toute transaction effectuée entre aujourd'hui et %s. Plus vous envoyez d'argent, plus vous avez de chances !"
portal::sweepstakes_reward/still_time,,"There is still time to enter the Sweepstakes! You will receive one entry for each transaction completed between now and %s. The more you send, the more chances you have!","Il est encore temps de participer au Jeu-concours ! Vous recevrez une participation pour chaque transaction effectuée entre aujourd'hui et %s. Plus vous envoyez d'argent, plus vous avez de chances !"
portal::sweepstakes_reward/send_money_now,,Send money now!,Envoyer de l'argent maintenant !
portal::primary_menu/rewards_sm,,Rewards,Récompenses
portal::share/rewards/yr_balance_is,,Your balance is,Votre solde est de
portal::share/rewards/sms,,SMS,SMS
"portal::post_transaction_survey/facebook,general-locstrings::share_facebook",,Facebook,Facebook
portal::share/rewards/view_less,,View Less,Voir moins
portal::share/rewards/view_all,,View All,Voir tout
portal::share/rewards/do_you_have_promo,,Do you have a promo code?,Avez-vous un code promo ?
portal::share/rewards/enter_code_here,,Enter code here,Entrez le code ici
portal::share/rewards/apply,,Apply,Appliquer
portal::share/rewards/amzn_not_sponsor,,"Amazon.com is not a sponsor of this promotion. Except as required by law, Amazon.com Gift Cards (&ldquo;GCs&rdquo;) cannot be transferred for value or redeemed for cash. GCs may be used only for purchases of eligible goods at Amazon.com or certain of its affiliated websites. For complete terms and conditions, see www.amazon.com/gc-legal. GCs are issued by ACI Gift Cards, Inc., a Washington corporation. All Amazon Â®, â¢ & Â© are IP of Amazon.com, Inc. or its affiliates. No expiration date or service fees.","Amazon.com n'est pas un sponsor de cette promotion. Sauf si la loi l'exige, les cartes-cadeaux Amazon.com (« CC ») ne peuvent être transférées contre de la valeur ni échangées contre de l'argent. Les CC ne peuvent être utilisées que pour l'achat de biens éligibles sur Amazon.com ou sur certains de ses sites Web affiliés. Pour connaître l'intégralité des conditions générales, rendez-vous sur www.amazon.com/gc-legal. Les CC sont émises par ACI Gift Cards, Inc., une société de Washington. Tous les symboles Amazon ®,  & © sont la propriété intellectuelle d'Amazon.com, Inc. ou de ses filiales. Aucune date d'expiration ni frais de service."
portal::share/rewards/visit_remitly,,Visit Remitly.com,Visiter Remitly.com
portal::share/sender/congrats,,Congratulations!,Félicitations !
portal::share/sender/been_selected,,You have been selected to receive two (2) FREE Express Transactions!,Vous avez été sélectionné pour recevoir (2) transactions Express GRATUITES !
portal::share/sender/instant_and_free,,This means your next two (2) transactions will be <b>INSTANT & FREE!</b>,Ceci signifie que vos deux (2) prochaines transactions seront <b>INSTANTANÉES ET GRATUITES !</b>
portal::share/sender/send_now,,Send Now!,Envoyez maintenant !
portal::share/sender/another_selected,,You have been selected to receive another FREE Express Transaction!,Vous avez été sélectionné pour recevoir une autre transactions Express GRATUITE !
portal::share/sender/next_instant_free,,This means your next transaction will be <b>INSTANT & FREE!</b>,Ceci signifie que votre prochaine transaction sera <b>INSTANTANÉE ET GRATUITE !</b>
portal::share/sender/copy,,Copy,Copier
portal::share/sender/copied,,Copied,Copié
portal::share/sender/other_ways_to_share,,Other Ways to Share,Autres façons de partager
portal::transfer/gift_card_modal/skip_for_now,,Skip for now,Ignorer pour l'instant
portal::transfer/gift_card_modal/gift_card_disclaimer/target,,"The Bullseye Design, Target and Target GiftCards are registered trademarks of Target Brands, Inc. Terms and conditions are applied to Gift Cards. Target is not a participating partner in or sponsor of this offer.","Bullseye Design, Target et Target GiftCards sont des marques déposées de Target Brands, Inc. Les conditions générales s'appliquent aux cartes-cadeaux. Target n'est pas un partenaire participant ni un sponsor de cette offre."
portal::transfer/gift_card_modal/gift_card_disclaimer/walmart,,"Remitly, Inc., doing business as Remitly, is/are not affiliated with Walmart Stores, Inc. The services, products or activities of Remitly, Inc., are neither endorsed nor sponsored by Walmart Stores, Inc.","Remitly, Inc., exerçant ses activités commerciales sous le nom de Remitly, n'est pas affilée à Walmart Stores, Inc. Les services, produits ou activités de Remitly, Inc. ne sont ni endossés ni commandités par Walmart Stores, Inc."
portal::transfer/gift_card_modal/gift_card_disclaimer/amazon,,"Amazon.com is not a sponsor of this promotion. Except as required by law, Amazon.com Gift Cards (""GCs"") cannot be transferred for value or redeemed for cash. GCs may be used only for purchases of eligible goods at Amazon.com or certain of its affiliated websites. For complete terms and conditions, see www.amazon.com/gc-legal. GCs are issued by ACI Gift Cards, Inc., a Washington corporation. All Amazon Â®, â¢ & Â© are IP of Amazon.com, Inc. or its affiliates. No expiration date or service fees.","Amazon.com n'est pas un sponsor de cette promotion. Sauf si la loi l'exige, les cartes-cadeaux Amazon.com (« CC ») ne peuvent être transférées contre de la valeur ni échangées contre de l'argent. Les CC ne peuvent être utilisées que pour l'achat de biens éligibles sur Amazon.com ou sur certains de ses sites Web affiliés. Pour connaître l'intégralité des conditions générales, rendez-vous sur www.amazon.com/gc-legal. Les CC sont émises par ACI Gift Cards, Inc., une société de Washington. Tous les symboles Amazon ®,  & © sont la propriété intellectuelle d'Amazon.com, Inc. ou de ses filiales. Aucune date d'expiration ni frais de service."
portal::transfer/gift_card_modal/choose_gift_card,,Choose your gift card,Choisissez votre carte-cadeau
portal::transfer/gift_card_modal/confirmation,,Great choice!,Excellent choix !
portal::gift_card/updated_success,,We&rsquo;ve updated your gift card preference.,Nous avons mis à jour votre préférence de carte-cadeau.
portal::gift_card/updated_success_specific,,You&rsquo;ve chosen to receive a %s gift card.,Vous avez choisi de recevoir une carte-cadeau %s.
portal::gift_card/earned_gift_card,,You&rsquo;ve earned a gift card!,Vous avez gagné une carte-cadeau !
portal::gift_card/click_to_choose,,Click here to choose your gift card.,Cliquez ici pour choisir votre carte-cadeau.
portal::gift_card/remitly_terms,,Remitly will email your gift card when your transfer has completed.,Remitly vous enverra votre carte-cadeau par e-mail dès la finalisation de votre virement.
portal::dual-ribbons/transfers-below,,Transfers below %s%s,Virements inférieurs à %s%s
portal::dual-ribbons/transfers-above,,Transfers above %s%s,Virements supérieurs à %s%s
portal::dual-ribbons/economy-exchange-rate,,Economy Exchange Rate,Taux de change économique
portal::dual-ribbons/express-exchange-rate,,Express Exchange Rate,Taux de change Express
portal::dual-ribbons/3-to-5,,Arrives in 3-5 business days,Arrive dans 3 à 5 jours ouvrables
portal::w/hero-we-are-better-mobile/arrival-express,,Arrives within minutes,Arrive en l'espace de quelques minutes
portal::paga-banner/lower-fees,,lower fees,frais réduits
portal::paga-banner/low-fees,,Low fees,Frais réduits
portal::paga-banner/better-rates,,"better rates, everyday","meilleurs taux, tous les jours"
portal::paga-banner/399,,$3.99 ,$4.99 
portal::paga-banner/free,,Free,État-Libre
portal::paga-banner/send-above,,Send above $500,clé
portal::paga-banner/send-below,,Send below $500,clé
portal::paga-banner/transfers-below,,Transfers<br>below $500,clé
portal::paga-banner/transfers-above,,Transfers<br>above $500,clé
portal::paga-banner/economy,,Economy<br>3-5 business days,Économique<br>3 à 5 jours ouvrables
portal::paga-banner/express,,Express<br>Within minutes,Express<br>En l'espace de quelques minutes
portal::paga-elektra/transfer,,Transfer to your local:,Virement en local :
portal::paga-elektra/easy-pickup,,Easy pickup. No extra cost.,Retrait simplifié. Pas de coût supplémentaire.
portal::paga-compare-our-fees/heading,,"You pay less, your loved ones get more every day.","Vous payez moins, vos proches reçoivent plus chaque jour."
portal::paga-compare-our-fees/pay-with,,Pay with<br><b>Debit Card</b>,Payer avec une<br><b>carte de débit</b>
portal::paga-compare-our-fees/today-exchange,,Today&rsquo;s<br><b>Exchange Rate</b>,<br><b>Taux de change</b> du jour
portal::paga-compare-our-fees/service-fee,,Service Fee,Frais de service
portal::paga-compare-our-fees/above,,Above $500,clé
portal::paga-compare-our-fees/below,,Below $500,clé
portal::receiver/transaction_status/exchange_rate,,Exchange Rate,Taux de change
portal::paga-compare-our-fees/best-value,,best value,meilleur rapport qualité/prix
portal::paga-compare-our-fees/fineprint,,This information is based on the fees shown on the competitor's website as of %s.,Ces informations sont basées sur les frais indiqués sur le site web du concurrent au %s.
portal::paga-banner/transfer-to,,TRANSFER TO:,VIREMENT À :
portal::w/hero-elektra-discount/299,,$2.99 ,$3.99 
portal::paga-banner/per_transfer,,"Per&nbsp;transfer&nbsp;until<br/>September&nbsp;7th. <a href=""%s"">Details.</a>","Par virement, jusqu'au<br/>7 septembre. <a href=""%s"">Détails.</a>"
"portal::share/share_tabs/twitter,general-locstrings::share_twitter",,Twitter,Twitter
portal::share/share_tabs/link,,Link,Lien
portal::share/share_tabs/remitly_url,,www.remitly.com,www.remitly.com
portal::share/share_tabs/share,,Share,Partager
portal::share/share_tabs/tweet,,Tweet,Tweet
portal::share/share_tabs/from,,From,De
portal::share/share_tabs/unable_to_get_contacts,,"We&rsquo;re sorry, we were unable to get your contacts. Please try again.","Nous sommes désolés, mais nous ne sommes pas en mesure de récupérer vos contacts. Veuillez réessayer."
portal::share/share_tabs/to,,To,À
portal::share/share_tabs/fetching_contacts,,Fetching contacts,Récupération des contacts
portal::share/share_tabs/select_n_contacts,,Select %s contacts,Sélectionner %s contacts
portal::share/share_tabs/other_email_options,,Other Email Options,Autres options de messagerie
portal::share/share_tabs/type_friends_email,,Type a Friend&rsquo;s Email address,Saisissez l'adresse e-mail d'un ami
portal::share/share_tabs/select_contacts,,[Select contacts],[Sélectionner des contacts]
portal::share/share_tabs/more,,more,plus
portal::share/share_tabs/type_friends_name,,Type a Friend&rsquo;s Name,Saisissez le nom d'un ami
portal::share/share_tabs/select_all,,Select All,Tout sélectionner
portal::share/share_tabs/deselect_all,,Deselect All,Tout désélectionner
portal::share/share_tabs/subject,,Subject,Objet
portal::primary_menu/rewards,,Earn rewards,Gagner des récompenses
portal::views/ribbons/components/satisfaction/100_percent_satisfaction,,100% Satisfaction.,Satisfaction garantie.
portal::views/ribbons/components/satisfaction/or_your_fees_back,,Or your fees back.,Ou frais remboursés.
portal::views/ribbons/components/satisfaction/or_full_refund,,Or full refund of your fees.,Ou remboursement intégral de vos frais.
portal::ribbons/users/increase_limits/manage_sending_limits,,Manage Sending Limits,Gérer les limites d'envoi
portal::views/ribbons/help/faq,,Frequently Asked Questions about Remitly,Questions fréquentes sur Remitly
portal::views/ribbons/help/hopefully,,Hopefully we can answer your questions. You also might be interested in learning more %s or our %s.,Nous espérons pouvoir répondre à vos questions. Vous voudrez peut-être aussi en savoir plus sur %s ou sur notre %s.
portal::views/ribbons/help/about_us,,About Us,À propos de nous
portal::views/ribbons/receiver_share/remitly_rewards,,Remitly Rewards,Récompenses Remitly
portal::views/ribbons/receiver_share/we_want_to_reward,,We want to reward you for recommending Remitly.com to your friends and family.,Nous souhaitons vous récompenser d'avoir recommandé Remitly.com à vos amis et à votre famille.
portal::ribbons/users/share/share_with_friends,,Share Remitly with your friends,Partager Remitly avec vos amis
portal::ribbons/users/share/post_about_remitly,,Post about Remitly on Facebook or send a simple email to tell your friends how much money they can save with Remitly.,Publiez des messages à propos de Remitly sur Facebook ou envoyez un simple e-mail à vos amis pour leur dire combien d'argent ils peuvent économiser avec Remitly.
portal::transaction/share/summary,,Transfer summary,Récapitulatif du virement
portal::transaction/share/view_receipt,,View receipt,Afficher le reçu
portal::transaction/share/print_receipt,,Print receipt,Imprimer le reçu
portal::transaction/share/refund_policy,,Refund policy,Politique de remboursement
portal::views/share/web-rewards/rewards,,Your Rewards,Vos récompenses
portal::views/share/web-rewards/your_balance_is,,Your Balance,Votre solde
portal::views/share/web-rewards/your_free_transactions,,Your Free Transactions,Vos transactions gratuites
portal::transfer/status/received_by,,%s received by %s,%s reçus par %s
portal::transfer/status/picked_up_by,,%s picked up by %s,%s récupérés par %s
portal::transfer/status/is_ready,,%s is ready for pick-up by %s,%s est prêt à être récupéré par %s
portal::transfer/status/needs_review,,%s needs review before sending to %s,%s doit être examiné avant d'être envoyé à %s
portal::transfer/status/was_not_sent,,%s was not sent to %s,%s n'a pas été envoyé à %s
portal::transfer/status/has_not_been_sent,,%s has not yet been sent to %s,%s n'a pas encore été envoyé à %s
portal::transfer/status/was_refunded,,%s was refunded to %s ending in %s,%s a été remboursé sur %s se terminant par %s
portal::transfer/status/will_be_sent,,%s will be sent to %s,%s sera envoyé à %s
portal::transfer/status/with_ref_no,,%s Ref No. %s,%s n° réf. %s
portal::transfer/status/in_review,,%s in review for %s,%s en cours d'examen pour %s
portal::transfer/status/in_progress,,%s in progress to %s,%s en cours sur %s
portal::transfer/status/your_transfer_pending_funds,,Your transfer of %s to %s is awaiting your bank payment.,Votre virement de %s à %s est en attente de votre paiement bancaire.
portal::transfer/status/view_instructions,,View Instructions,Afficher les instructions
portal::transfer/status/awaiting_bank_payment,,%s to %s awaiting your bank payment,%s à %s en attente de votre paiement bancaire
portal::post_transaction_survey/thank_you,,Thank you for completing our survey,Merci d'avoir répondu à notre sondage
portal::post_transaction_survey/question,,How did you hear about Remitly?,Comment avez-vous entendu parler de Remitly ?
portal::post_transaction_survey/description,,Choose as many as you like,Choisissez autant de réponses que vous voulez
portal::post_transaction_survey/youtube,,YouTube,YouTube
portal::post_transaction_survey/instagram,,Instagram,Instagram
portal::post_transaction_survey/referral,,Remitly's referral program,Programme de parrainage de Remitly
portal::post_transaction_survey/friends_family,,"Friends, family, or word of mouth","Amis, famille ou bouche à oreille"
portal::post_transaction_survey/internet_search,,Internet search,Recherche sur Internet
portal::post_transaction_survey/app_store,,App store,App store
portal::post_transaction_survey/tv,,TV,TV
"portal::post_transaction_survey/recipient,phpcommon::track_my_transfer/step4/cash_pickup",,Recipient,Destinataire
portal::post_transaction_survey/radio,,Radio,Radio
portal::post_transaction_survey/online_advertisement,,Online advertisement,Publicités en ligne
portal::post_transaction_survey/seen_ad/question,,Have you seen a Remitly Ad in the last 30 days?,Avez-vous vu une publicité Remitly au cours des 30 derniers jours ?
portal::transfer/receiver_transfer_status/yes,,Yes,Oui
portal::transfer/receiver_transfer_status/no,,No,Non
portal::transfer/post_transaction/updated_delivery_promise,,Updated Delivery Promise,Engagement de livraison mis à jour
portal::transfer/post_transaction/view_receipt,,View Receipt,Afficher le reçu
portal::transfer/post_transaction/refund_policy,,Refund Policy,Politique de remboursement
portal::transfer/post_transaction/stt_free_transaction_message,,"For a limited time, your next transaction is <b>FREE</b><br><span class=""fineprint""><a href=""%s"" target=""_blank"">Terms and Conditions</a></span>","Pour une durée limitée, votre prochaine transaction est <b>GRATUITE</b><br><span class=""fineprint""><a href=""%s"" target=""_blank"">Conditions générales</a></span>"
portal::transfer/post_transaction/stt_forex_boost_message,,"For a limited time, <b>get an extra $0.15MXN</b> above our everyday rate on your next transfer. <br><span class=""fineprint""><a href=""%s"" target=""_blank"">Terms and Conditions</a></span>","Pour une durée limitée, <b>bénéficiez de 0,15 $ MXN supplémentaires</b> en plus de notre taux du jour sur votre prochain virement. <br><span class=""fineprint""><a href=""%s"" target=""_blank"">Conditions générales</a></span>"
portal::transfer/unsupported_country/title,,Unsupported Country,Pays non pris en charge
portal::transfer/unsupported_country/heading,,"Sorry, we don&rsquo;t send to the country you selected","Désolé, nous n'effectuons aucun envoi vers le pays sélectionné"
portal::transfer/unsupported_country/we_do_not_support_s_from_s,,We currently do not support sending money to <b>%s</b> from <b>%s</b>.,Nous ne prenons actuellement pas en charge l'envoi d'argent vers <b>%s</b> à partir de <b>%s</b>.
portal::transfer/unsupported_country/please_select,,"Please select a country to send to, or change where you send from above.","Veuillez sélectionner un pays destinataire de l'envoi, ou modifier le pays originaire de l'envoi ci-dessus."
portal::transfer/receipt/all_activity,,All activity,Toutes les activités
portal::transfer/receipt/print,,Print,Imprimer
portal::transfer/receipt/download,,Download,Télécharger
portal::transfer/delivery_details/your_full_name,,YOUR FULL NAME,VOTRE NOM COMPLET
portal::transfer/delivery_details/your_name_hint,,Please enter your full legal name as it appears on a valid ID. Misspellings or use of nicknames could cause delays in processing your transaction.,Veuillez entrer votre dénomination sociale complète telle qu'elle apparaît sur une pièce d'identité valide. Les fautes d'orthographe ou l'utilisation de pseudonymes peuvent entraîner des retards dans le traitement de votre transaction.
portal::transfer/delivery_details/your_home_address,,YOUR HOME ADDRESS,VOTRE ADRESSE PERSONNELLE
portal::transfer/delivery_details/home_address_hint,,Please enter your home address. Misspellings or abbreviations could cause delays in processing your transaction.,Veuillez entre votre adresse personnelle. Les fautes d'orthographe ou les abréviations peuvent entraîner des retards dans le traitement de votre transaction.
portal::transfer/delivery_details/your_mobile_phone,,YOUR MOBILE PHONE,VOTRE TÉLÉPHONE MOBILE
portal::transfer/delivery_details/your_mobile_phone_hint,,We will call you only if we require more information from you to complete your transaction.,Nous vous appellerons si nous avons besoin de plus d'informations de votre part pour finaliser votre transaction.
portal::transfer/delivery_details/phone_number,,Phone Number,Numéro de téléphone
portal::transfer/delivery_details/your_dob,,YOUR DATE OF BIRTH,VOTRE DATE DE NAISSANCE
portal::transfer/delivery_details/last_4_ssn,,LAST 4 DIGITS OF YOUR SSN/ITIN,4 DERNIERS CHIFFRES DE VOTRE NSS/ITIN
